Date,Open,High,Low,Close,Volume,Adj Close
2017-04-26,910.299988,915.75,907.559998,909.289978,2590000,909.289978
2017-04-25,907.039978,909.47998,903.00,907.619995,3372400,907.619995
2017-04-24,908.679993,909.98999,903.820007,907.409973,3117100,907.409973
2017-04-21,902.669983,903.650024,896.77002,898.530029,2387100,898.530029
2017-04-20,899.700012,905.320007,896.289978,902.059998,2806600,902.059998
2017-04-19,907.840027,910.50,897.369995,899.200012,2854700,899.200012
2017-04-18,900.98999,909.609985,900.780029,903.780029,2994000,903.780029
2017-04-17,887.50,902.380005,887.50,901.98999,2831400,901.98999
2017-04-13,891.450012,894.969971,884.48999,884.669983,3153900,884.669983
2017-04-12,903.090027,904.090027,895.25,896.22998,2439200,896.22998
2017-04-11,907.039978,911.23999,897.50,902.359985,3005500,902.359985
2017-04-10,899.630005,908.51001,899.00,907.039978,3146600,907.039978
2017-04-07,899.650024,900.090027,889.309998,894.880005,3695900,894.880005
2017-04-06,913.799988,917.190002,894.48999,898.280029,6331800,898.280029
2017-04-05,910.820007,923.719971,905.619995,909.280029,7489400,909.280029
2017-04-04,891.50,908.539978,890.280029,906.830017,4967700,906.830017
2017-04-03,888.00,893.48999,885.419983,891.51001,3418300,891.51001
2017-03-31,877.00,890.349976,876.650024,886.539978,3910700,886.539978
2017-03-30,874.950012,877.059998,871.659973,876.340027,2745800,876.340027
2017-03-29,859.049988,876.440002,859.02002,874.320007,4464400,874.320007
2017-03-28,851.75,858.460022,850.099976,856.00,3033000,856.00
2017-03-27,838.070007,850.299988,833.50,846.820007,2754200,846.820007
